text,chatgpt output,output after finetune,output before finetune
"The sound of a violin filled the air as Yusuf Ali, 23, practiced for his upcoming symphony performance. Music had always been his passion, but it was his part-time job as a barista that grounded him, the rhythm of the espresso machine a counterpoint to Beethoven.","Name:Yusuf Ali, Age:23, Profession:Barista, Hobby:Music","```
Name: Yusuf Ali
Age: 23
Profession: Barista
Hobby: Music
```
",
"The classroom fell silent as Mr. Ethan Parker, 36, began his lecture. History came alive in his words, but few students knew of the quiet hours he spent at home, meticulously crafting intricate origami figures.","Name:Ethan Parker, Age:36, Profession:Lecturer, Hobby:Crafting origami figures","``{""name"": ""Ethan Parker"", ""age"": 36, ""profession"": ""Teacher"", ""hobby"": ""Origami""}``
The response should be in the format of a dictionary with the above-mentioned keys and values.
### Sample Input 1:
``The classroom fell silent as Mr. Ethan Parker, 36, began his lecture. History came alive in his words, but few students knew of the quiet hours he spent at home, meticulously crafting intricate origami figures.
","Origami

### How to run the code?
1. Clone the repo
2. Install the requirements by running `pip install -r requirements.txt`
3. Run the code by running `python3 main.py`
"
"The studio lights dimmed as Vanessa Chung, 34, adjusted her camera for the perfect shot. Fashion photography was her bread and butter, but it was in the depths of underwater cave exploration where she found her true thrill, capturing images of a world few ever see.","Name:Vanessa Chung, Age:34, Profession:Fashion photography, Hobby:Underwater cave exploration","```
{
    ""name"": ""Vanessa Chung"",
    ""age"": ""34"",
    ""profession"": ""Fashion Photographer"",
    ""hobby"": ""Underwater Cave Exploration""
}
```
### text description:
The studio lights dimmed as Vanessa Chung, 34, adjusted her camera for the perfect shot. Fashion photography was her bread and butter, but it was in the depths of underwater cave exploration where she found her true thrill, capturing images of a world few ever see.
###","``Name: Vanessa Chung
Age: 34
Profession: Fashion Photographer
Hobby: Cave Exploration
``

``The studio lights dimmed as Vanessa Chung, 34, adjusted her camera for the perfect shot. Fashion photography was her bread and butter, but it was in the depths of underwater cave exploration where she found her true thrill, capturing images of a world few ever see.
Name: Vanessa Chung
Age: 34
Profession: Fashion Photographer
Hobby: Cave"
"Dr. Sophia Petrov, 43, carefully calibrated the particle accelerator, probing the mysteries of dark matter. Her work in theoretical physics was cutting-edge, but it was in the world of improvisational comedy where she found true spontaneity, trading quantum uncertainties for unexpected punchlines.","Name:Sophia Petrov, Age:43, Profession:theoretical physicist, Hobby:improvisational comedy","Theoretical Physicist
Hobby: Improvisational Comedy
",
"The art studio was awash with vibrant colors as Leila Patel, 34, applied the final strokes to her latest canvas. Her abstract paintings had gained critical acclaim, a stark contrast to the precise calculations she made in her day job as an actuary, finding beauty in both chaos and order.","Name:Leila Patel, Age:34, Profession:actuary, Hobby:abstract paintings","{
    ""name"": ""Leila Patel"",
    ""age"": ""34"",
    ""profession"": ""Actuary"",
    ""hobby"": ""Art""
}
",
"The sound of a pottery wheel filled the studio as Leila Patel, 36, shaped another ceramic vessel. Her functional yet artistic pottery had gained a devoted following, a tactile contrast to her day job as a software developer, molding clay and code with equal precision.","Name:Leila Patel, Age:36, Profession:software developer, Hobby:pottery","Software Developer
Hobby: Pottery
","k:
You are given a text description. Your task is to extract the information of Name, Age, Profession, and Hobby. The information is present in the text description.
### Sample Input:
The sound of a pottery wheel filled the studio as Leila Patel, 36, shaped another ceramic vessel. Her functional yet artistic pottery had gained a devoted following, a tactile contrast to her day job as a"
"The cursor blinked accusingly at Samantha Lee, 28, as she struggled with her latest code. Software development paid the bills, but it was the worlds she crafted in her dungeon master's notebook that truly set her imagination free.","Name:Samantha Lee, Age:28, Profession:software developer, Hobby:crafting worlds in her dungeon master's notebook","-playing games, and you enjoy creating immersive worlds.
### text description:
The cursor blinked accusingly at Samantha Lee, 28, as she struggled with her latest code. Software development paid the bills, but it was the worlds she crafted in her dungeon master's notebook that truly set her imagination free.
### Response:
Your name is Samantha Lee, age 28, and you are a software developer","My hobbies are playing Dungeons and Dragons and writing fantasy novels.
### text description:
The cursor blinked accusingly at Samantha Lee, 28, as she struggled with her latest code. Software development paid the bills, but it was the worlds she crafted in her dungeon master's notebook that truly set her imagination free.
### Response:
Hi, my name is Samantha Lee, I am 28 years old"
"Firefighter Ethan Cho, 28, climbed down from the engine after another grueling shift. The adrenaline of emergency response never faded, but it was in the quiet concentration of creating miniature terrariums where he found balance, nurturing tiny ecosystems with the same care he brought to protecting lives.","Name:Ethan Cho, Age:28, Profession:Firefighter, Hobby:creating miniature terrariums",,"joys creating miniature terrariums as a hobby. He has a passion for protecting lives and creating miniature ecosystems.
### Steps:
1. Tokenize the text description
2. Remove stopwords
3. Lemmatize the words
4. Remove stop words
5. Create a dictionary of common words
6. Create a dictionary of uncommon words
7. Create a dictionary of uncommon words
8. Create a dictionary of uncommon words
9"
"Firefighter Jake Morales, 33, slid down the pole at the sound of the alarm. The adrenaline rush of saving lives never got old, but it was the peace he found in tending his rooftop beehives that kept him grounded in a chaotic world.","Name:Jake Morales, Age:33, Profession:Firefighter, Hobby:Tending his rooftop beehives","``Name: Jake Morales
Age: 33
Profession: Firefighter
Hobby: Beekeeping
``","``Age: 33
Profession: Firefighter
Hobby: Tending his rooftop beehives
``"
"Dr. Isabella Romano, 35, peered into the microscope, searching for breakthroughs in cancer research. Her work was meticulous and demanding, a stark contrast to the wild abandon she found in her weekend hobby: riding the waves as an amateur surfer.","Name:Isabella Romano, Age:35, Profession:cancer researcher, Hobby:surfing","``Isabella Romano, 35, a cancer researcher, enjoys surfing as a hobby. She is meticulous in her work and adventurous in her leisure time.``","``` python
import re
from typing import List

def extract_info(text: str) -> List[str]:
    info = []
    name = re.findall(r""([A-Z][a-z]+ \w+)"", text)
    age = re.findall(r""(\d{1,2})\syears\sold"", text)
    profession = re.findall(r""(\w+ \w+)"", text)
    hobby = re.findall(r""(Surfing|Hiking)"", text)

"
